<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20220104,100100,35229.5859375,39550.0000000,39700.0000000,39150.0000000,96773
20220104,100200,35229.5859375,39550.0000000,39700.0000000,39150.0000000,96773
20220104,100300,35229.5859375,39550.0000000,39700.0000000,39150.0000000,96773
20220104,100400,35229.5859375,39550.0000000,39700.0000000,39150.0000000,96773
20220104,100500,35229.5859375,39550.0000000,39700.0000000,39150.0000000,96773
20220104,100600,35229.5859375,39550.0000000,39700.0000000,39150.0000000,96773
20220104,100700,35229.5859375,39550.0000000,39700.0000000,39150.0000000,96773
20220105,100100,35229.5859375,39550.0000000,40050.0000000,39250.0000000,172616
20220105,100200,35229.5859375,39550.0000000,40050.0000000,39250.0000000,172616
20220105,100300,35229.5859375,39550.0000000,40050.0000000,39250.0000000,172616
20220105,100400,35229.5859375,39550.0000000,40050.0000000,39250.0000000,172616
20220105,100500,35229.5859375,39550.0000000,40050.0000000,39250.0000000,172616
20220105,100600,35229.5859375,39550.0000000,40050.0000000,39250.0000000,172616
20220105,100700,35229.5859375,39550.0000000,40050.0000000,39250.0000000,172616
20220106,100100,35674.9609375,40050.0000000,40250.0000000,39100.0000000,212023
20220106,100200,35674.9609375,40050.0000000,40250.0000000,39100.0000000,212023
20220106,100300,35674.9609375,40050.0000000,40250.0000000,39100.0000000,212023
20220106,100400,35674.9609375,40050.0000000,40250.0000000,39100.0000000,212023
20220106,100500,35674.9609375,40050.0000000,40250.0000000,39100.0000000,212023
20220106,100600,35674.9609375,40050.0000000,40250.0000000,39100.0000000,212023
20220106,100700,35674.9609375,40050.0000000,40250.0000000,39100.0000000,212023
20220107,100100,35363.1953125,39700.0000000,40550.0000000,39650.0000000,205446
20220107,100200,35363.1953125,39700.0000000,40550.0000000,39650.0000000,205446
20220107,100300,35363.1953125,39700.0000000,40550.0000000,39650.0000000,205446
20220107,100400,35363.1953125,39700.0000000,40550.0000000,39650.0000000,205446
20220107,100500,35363.1953125,39700.0000000,40550.0000000,39650.0000000,205446
20220107,100600,35363.1953125,39700.0000000,40550.0000000,39650.0000000,205446
20220107,100700,35363.1953125,39700.0000000,40550.0000000,39650.0000000,205446
20220110,100100,35452.2695312,39800.0000000,40050.0000000,39450.0000000,136777
20220110,100200,35452.2695312,39800.0000000,40050.0000000,39450.0000000,136777
20220110,100300,35452.2695312,39800.0000000,40050.0000000,39450.0000000,136777
20220110,100400,35452.2695312,39800.0000000,40050.0000000,39450.0000000,136777
20220110,100500,35452.2695312,39800.0000000,40050.0000000,39450.0000000,136777
20220110,100600,35452.2695312,39800.0000000,40050.0000000,39450.0000000,136777
20220110,100700,35452.2695312,39800.0000000,40050.0000000,39450.0000000,136777
20220111,100100,35363.1953125,39700.0000000,40050.0000000,39350.0000000,210882
20220111,100200,35363.1953125,39700.0000000,40050.0000000,39350.0000000,210882
20220111,100300,35363.1953125,39700.0000000,40050.0000000,39350.0000000,210882
20220111,100400,35363.1953125,39700.0000000,40050.0000000,39350.0000000,210882
20220111,100500,35363.1953125,39700.0000000,40050.0000000,39350.0000000,210882
20220111,100600,35363.1953125,39700.0000000,40050.0000000,39350.0000000,210882
20220111,100700,35363.1953125,39700.0000000,40050.0000000,39350.0000000,210882
20220112,100100,36120.3437500,40550.0000000,40550.0000000,40000.0000000,314027
20220112,100200,36120.3437500,40550.0000000,40550.0000000,40000.0000000,314027
20220112,100300,36120.3437500,40550.0000000,40550.0000000,40000.0000000,314027
20220112,100400,36120.3437500,40550.0000000,40550.0000000,40000.0000000,314027
