<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20220104,100100,638457.3750000,657000.0000000,669000.0000000,654000.0000000,111602
20220104,100200,638457.3750000,657000.0000000,669000.0000000,654000.0000000,111602
20220104,100300,638457.3750000,657000.0000000,669000.0000000,654000.0000000,111602
20220104,100400,638457.3750000,657000.0000000,669000.0000000,654000.0000000,111602
20220104,100500,638457.3750000,657000.0000000,669000.0000000,654000.0000000,111602
20220104,100600,638457.3750000,657000.0000000,669000.0000000,654000.0000000,111602
20220104,100700,638457.3750000,657000.0000000,669000.0000000,654000.0000000,111602
20220105,100100,607360.5000000,625000.0000000,654000.0000000,622000.0000000,196204
20220105,100200,607360.5000000,625000.0000000,654000.0000000,622000.0000000,196204
20220105,100300,607360.5000000,625000.0000000,654000.0000000,622000.0000000,196204
20220105,100400,607360.5000000,625000.0000000,654000.0000000,622000.0000000,196204
20220105,100500,607360.5000000,625000.0000000,654000.0000000,622000.0000000,196204
20220105,100600,607360.5000000,625000.0000000,654000.0000000,622000.0000000,196204
20220105,100700,607360.5000000,625000.0000000,654000.0000000,622000.0000000,196204
20220106,100100,584037.8125000,601000.0000000,622000.0000000,599000.0000000,206173
20220106,100200,584037.8125000,601000.0000000,622000.0000000,599000.0000000,206173
20220106,100300,584037.8125000,601000.0000000,622000.0000000,599000.0000000,206173
20220106,100400,584037.8125000,601000.0000000,622000.0000000,599000.0000000,206173
20220106,100500,584037.8125000,601000.0000000,622000.0000000,599000.0000000,206173
20220106,100600,584037.8125000,601000.0000000,622000.0000000,599000.0000000,206173
20220106,100700,584037.8125000,601000.0000000,622000.0000000,599000.0000000,206173
20220107,100100,588896.7500000,606000.0000000,620000.0000000,603000.0000000,125308
20220107,100200,588896.7500000,606000.0000000,620000.0000000,603000.0000000,125308
20220107,100300,588896.7500000,606000.0000000,620000.0000000,603000.0000000,125308
20220107,100400,588896.7500000,606000.0000000,620000.0000000,603000.0000000,125308
20220107,100500,588896.7500000,606000.0000000,620000.0000000,603000.0000000,125308
20220107,100600,588896.7500000,606000.0000000,620000.0000000,603000.0000000,125308
20220107,100700,588896.7500000,606000.0000000,620000.0000000,603000.0000000,125308
20220110,100100,596670.9375000,614000.0000000,619000.0000000,600000.0000000,101203
20220110,100200,596670.9375000,614000.0000000,619000.0000000,600000.0000000,101203
20220110,100300,596670.9375000,614000.0000000,619000.0000000,600000.0000000,101203
20220110,100400,596670.9375000,614000.0000000,619000.0000000,600000.0000000,101203
20220110,100500,596670.9375000,614000.0000000,619000.0000000,600000.0000000,101203
20220110,100600,596670.9375000,614000.0000000,619000.0000000,600000.0000000,101203
20220110,100700,596670.9375000,614000.0000000,619000.0000000,600000.0000000,101203
20220111,100100,586953.1875000,604000.0000000,622000.0000000,601000.0000000,146671
20220111,100200,586953.1875000,604000.0000000,622000.0000000,601000.0000000,146671
20220111,100300,586953.1875000,604000.0000000,622000.0000000,601000.0000000,146671
20220111,100400,586953.1875000,604000.0000000,622000.0000000,601000.0000000,146671
20220111,100500,586953.1875000,604000.0000000,622000.0000000,601000.0000000,146671
20220111,100600,586953.1875000,604000.0000000,622000.0000000,601000.0000000,146671
20220111,100700,586953.1875000,604000.0000000,622000.0000000,601000.0000000,146671
20220112,100100,598614.5000000,616000.0000000,623000.0000000,608000.0000000,113698
20220112,100200,598614.5000000,616000.0000000,623000.0000000,608000.0000000,113698
20220112,100300,598614.5000000,616000.0000000,623000.0000000,608000.0000000,113698
20220112,100400,598614.5000000,616000.0000000,623000.0000000,608000.0000000,113698
20220112,100500,598614.5000000,616000.0000000,623000.0000000,608000.0000000,113698
20220112,100600,598614.5000000,616000.0000000,623000.0000000,608000.0000000,113698
20220112,100700,598614.5000000,616000.0000000,623000.0000000,608000.0000000,113698
20220113,100100,587925.0000000,605000.0000000,618000.0000000,604000.0000000,138024
20220113,100200,587925.0000000,605000.0000000,618000.0000000,604000.0000000,138024
20220113,100300,587925.0000000,605000.0000000,618000.0000000,604000.0000000,138024
20220113,100400,587925.0000000,605000.0000000,618000.0000000,604000.0000000,138024
20220113,100500,587925.0000000,605000.0000000,618000.0000000,604000.0000000,138024
20220113,100600,587925.0000000,605000.0000000,618000.0000000,604000.0000000,138024
20220113,100700,587925.0000000,605000.0000000,618000.0000000,604000.0000000,138024
20220114,100100,566545.8750000,583000.0000000,599000.0000000,572000.0000000,232460
20220114,100200,566545.8750000,583000.0000000,599000.0000000,572000.0000000,232460
20220114,100300,566545.8750000,583000.0000000,599000.0000000,572000.0000000,232460
20220114,100400,566545.8750000,583000.0000000,599000.0000000,572000.0000000,232460
20220114,100500,566545.8750000,583000.0000000,599000.0000000,572000.0000000,232460
20220114,100600,566545.8750000,583000.0000000,599000.0000000,572000.0000000,232460
20220114,100700,566545.8750000,583000.0000000,599000.0000000,572000.0000000,232460
20220117,100100,571404.7500000,588000.0000000,595000.0000000,573000.0000000,101567
20220117,100200,571404.7500000,588000.0000000,595000.0000000,573000.0000000,101567
20220117,100300,571404.7500000,588000.0000000,595000.0000000,573000.0000000,101567
20220117,100400,571404.7500000,588000.0000000,595000.0000000,573000.0000000,101567
20220117,100500,571404.7500000,588000.0000000,595000.0000000,573000.0000000,101567
20220117,100600,571404.7500000,588000.0000000,595000.0000000,573000.0000000,101567
20220117,100700,571404.7500000,588000.0000000,595000.0000000,573000.0000000,101567
20220118,100100,561687.0000000,578000.0000000,599000.0000000,576000.0000000,81971
20220118,100200,561687.0000000,578000.0000000,599000.0000000,576000.0000000,81971
20220118,100300,561687.0000000,578000.0000000,599000.0000000,576000.0000000,81971
20220118,100400,561687.0000000,578000.0000000,599000.0000000,576000.0000000,81971
20220118,100500,561687.0000000,578000.0000000,599000.0000000,576000.0000000,81971
20220118,100600,561687.0000000,578000.0000000,599000.0000000,576000.0000000,81971
20220118,100700,561687.0000000,578000.0000000,599000.0000000,576000.0000000,81971
20220119,100100,565574.0625000,582000.0000000,584000.0000000,574000.0000000,108563
20220119,100200,565574.0625000,582000.0000000,584000.0000000,574000.0000000,108563
20220119,100300,565574.0625000,582000.0000000,584000.0000000,574000.0000000,108563
20220119,100400,565574.0625000,582000.0000000,584000.0000000,574000.0000000,108563
20220119,100500,565574.0625000,582000.0000000,584000.0000000,574000.0000000,108563
20220119,100600,565574.0625000,582000.0000000,584000.0000000,574000.0000000,108563
20220119,100700,565574.0625000,582000.0000000,584000.0000000,574000.0000000,108563
20220120,100100,561687.0000000,578000.0000000,585000.0000000,568000.0000000,126446
20220120,100200,561687.0000000,578000.0000000,585000.0000000,568000.0000000,126446
20220120,100300,561687.0000000,578000.0000000,585000.0000000,568000.0000000,126446
20220120,100400,561687.0000000,578000.0000000,585000.0000000,568000.0000000,126446
20220120,100500,561687.0000000,578000.0000000,585000.0000000,568000.0000000,126446
20220120,100600,561687.0000000,578000.0000000,585000.0000000,568000.0000000,126446
20220120,100700,561687.0000000,578000.0000000,585000.0000000,568000.0000000,126446
20220121,100100,549053.8750000,565000.0000000,582000.0000000,563000.0000000,192639
20220121,100200,549053.8750000,565000.0000000,582000.0000000,563000.0000000,192639
20220121,100300,549053.8750000,565000.0000000,582000.0000000,563000.0000000,192639
20220121,100400,549053.8750000,565000.0000000,582000.0000000,563000.0000000,192639
20220121,100500,549053.8750000,565000.0000000,582000.0000000,563000.0000000,192639
20220121,100600,549053.8750000,565000.0000000,582000.0000000,563000.0000000,192639
20220121,100700,549053.8750000,565000.0000000,582000.0000000,563000.0000000,192639
20220124,100100,550997.4375000,567000.0000000,576000.0000000,563000.0000000,142063
20220124,100200,550997.4375000,567000.0000000,576000.0000000,563000.0000000,142063
20220124,100300,550997.4375000,567000.0000000,576000.0000000,563000.0000000,142063
20220124,100400,550997.4375000,567000.0000000,576000.0000000,563000.0000000,142063
20220124,100500,550997.4375000,567000.0000000,576000.0000000,563000.0000000,142063
20220124,100600,550997.4375000,567000.0000000,576000.0000000,563000.0000000,142063
20220124,100700,550997.4375000,567000.0000000,576000.0000000,563000.0000000,142063
20220125,100100,542251.4375000,558000.0000000,579000.0000000,557000.0000000,178822
20220125,100200,542251.4375000,558000.0000000,579000.0000000,557000.0000000,178822
20220125,100300,542251.4375000,558000.0000000,579000.0000000,557000.0000000,178822
20220125,100400,542251.4375000,558000.0000000,579000.0000000,557000.0000000,178822
20220125,100500,542251.4375000,558000.0000000,579000.0000000,557000.0000000,178822
20220125,100600,542251.4375000,558000.0000000,579000.0000000,557000.0000000,178822
20220125,100700,542251.4375000,558000.0000000,579000.0000000,557000.0000000,178822
20220126,100100,542251.4375000,558000.0000000,558000.0000000,558000.0000000,0
20220126,100200,542251.4375000,558000.0000000,558000.0000000,558000.0000000,0
20220126,100300,542251.4375000,558000.0000000,558000.0000000,558000.0000000,0
20220126,100400,542251.4375000,558000.0000000,558000.0000000,558000.0000000,0
20220126,100500,542251.4375000,558000.0000000,558000.0000000,558000.0000000,0
20220126,100600,542251.4375000,558000.0000000,558000.0000000,558000.0000000,0
20220126,100700,542251.4375000,558000.0000000,558000.0000000,558000.0000000,0
20220127,100100,520872.3750000,536000.0000000,565000.0000000,531000.0000000,225429
20220127,100200,520872.3750000,536000.0000000,565000.0000000,531000.0000000,225429
20220127,100300,520872.3750000,536000.0000000,565000.0000000,531000.0000000,225429
20220127,100400,520872.3750000,536000.0000000,565000.0000000,531000.0000000,225429
20220127,100500,520872.3750000,536000.0000000,565000.0000000,531000.0000000,225429
20220127,100600,520872.3750000,536000.0000000,565000.0000000,531000.0000000,225429
20220127,100700,520872.3750000,536000.0000000,565000.0000000,531000.0000000,225429
20220128,100100,520872.3750000,536000.0000000,544000.0000000,522000.0000000,230623
20220128,100200,520872.3750000,536000.0000000,544000.0000000,522000.0000000,230623
20220128,100300,520872.3750000,536000.0000000,544000.0000000,522000.0000000,230623
20220128,100400,520872.3750000,536000.0000000,544000.0000000,522000.0000000,230623
20220128,100500,520872.3750000,536000.0000000,544000.0000000,522000.0000000,230623
20220128,100600,520872.3750000,536000.0000000,544000.0000000,522000.0000000,230623
20220128,100700,520872.3750000,536000.0000000,544000.0000000,522000.0000000,230623
20220203,100100,516985.2500000,532000.0000000,545000.0000000,525000.0000000,238330
20220203,100200,516985.2500000,532000.0000000,545000.0000000,525000.0000000,238330
20220203,100300,516985.2500000,532000.0000000,545000.0000000,525000.0000000,238330
20220203,100400,516985.2500000,532000.0000000,545000.0000000,525000.0000000,238330
20220203,100500,516985.2500000,532000.0000000,545000.0000000,525000.0000000,238330
20220203,100600,516985.2500000,532000.0000000,545000.0000000,525000.0000000,238330
20220203,100700,516985.2500000,532000.0000000,545000.0000000,525000.0000000,238330
20220204,100100,515041.7187500,530000.0000000,537000.0000000,517000.0000000,310866
20220204,100200,515041.7187500,530000.0000000,537000.0000000,517000.0000000,310866
20220204,100300,515041.7187500,530000.0000000,537000.0000000,517000.0000000,310866
20220204,100400,515041.7187500,530000.0000000,537000.0000000,517000.0000000,310866
20220204,100500,515041.7187500,530000.0000000,537000.0000000,517000.0000000,310866
20220204,100600,515041.7187500,530000.0000000,537000.0000000,517000.0000000,310866
20220204,100700,515041.7187500,530000.0000000,537000.0000000,517000.0000000,310866
20220207,100100,524759.4375000,540000.0000000,546000.0000000,529000.0000000,201268
20220207,100200,524759.4375000,540000.0000000,546000.0000000,529000.0000000,201268
20220207,100300,524759.4375000,540000.0000000,546000.0000000,529000.0000000,201268
20220207,100400,524759.4375000,540000.0000000,546000.0000000,529000.0000000,201268
20220207,100500,524759.4375000,540000.0000000,546000.0000000,529000.0000000,201268
20220207,100600,524759.4375000,540000.0000000,546000.0000000,529000.0000000,201268
20220207,100700,524759.4375000,540000.0000000,546000.0000000,529000.0000000,201268
20220208,100100,524759.4375000,540000.0000000,540000.0000000,540000.0000000,0
20220208,100200,524759.4375000,540000.0000000,540000.0000000,540000.0000000,0
20220208,100300,524759.4375000,540000.0000000,540000.0000000,540000.0000000,0
20220208,100400,524759.4375000,540000.0000000,540000.0000000,540000.0000000,0
20220208,100500,524759.4375000,540000.0000000,540000.0000000,540000.0000000,0
20220208,100600,524759.4375000,540000.0000000,540000.0000000,540000.0000000,0
20220208,100700,524759.4375000,540000.0000000,540000.0000000,540000.0000000,0
20220209,100100,524759.4375000,540000.0000000,540000.0000000,540000.0000000,0
20220209,100200,524759.4375000,540000.0000000,540000.0000000,540000.0000000,0
20220209,100300,524759.4375000,540000.0000000,540000.0000000,540000.0000000,0
20220209,100400,524759.4375000,540000.0000000,540000.0000000,540000.0000000,0
20220209,100500,524759.4375000,540000.0000000,540000.0000000,540000.0000000,0
20220209,100600,524759.4375000,540000.0000000,540000.0000000,540000.0000000,0
