"<DATE>","<TIME>","<OPEN>","<HIGH>","<LOW>","<CLOSE>","<VOL>"
"20240705","090000",186900.0,187300.0,184000.0,187300.0,80180
"20240705","090100",187200.0,188500.0,186500.0,188500.0,85741
"20240705","090200",188400.0,189500.0,187600.0,187600.0,48672
"20240705","090300",187600.0,190500.0,187000.0,190500.0,52174
"20240705","090400",190300.0,190400.0,189100.0,190200.0,43135
"20240705","090500",190100.0,193800.0,190000.0,193400.0,66376
"20240705","090600",193300.0,193800.0,192700.0,193000.0,39905
"20240705","090700",193000.0,193000.0,191800.0,192000.0,29511
"20240705","090800",192000.0,192500.0,190900.0,191200.0,23551
"20240705","090900",191200.0,192600.0,190500.0,190600.0,31563
"20240705","091000",190600.0,191200.0,189400.0,190400.0,29850
"20240705","091100",190400.0,192000.0,189900.0,191500.0,21802
"20240705","091200",191500.0,192600.0,191300.0,192300.0,20208
"20240705","091300",192300.0,192700.0,190700.0,190700.0,30544
"20240705","091400",190900.0,192300.0,190500.0,192300.0,8233
"20240705","091500",192300.0,193400.0,191900.0,193400.0,37933
"20240705","091600",193400.0,194000.0,192700.0,194000.0,38879
"20240705","091700",193900.0,194200.0,192700.0,192700.0,43077
"20240705","091800",192800.0,193700.0,192700.0,193700.0,10564
"20240705","091900",193700.0,193800.0,191500.0,191600.0,18825
"20240705","092000",191600.0,192400.0,191500.0,192200.0,8422
"20240705","092100",192100.0,192900.0,191700.0,192900.0,12333
"20240705","092200",192900.0,195000.0,192800.0,194700.0,54898
"20240705","092300",194500.0,194700.0,193700.0,194000.0,17173
"20240705","092400",194000.0,194000.0,192600.0,192800.0,17965
"20240705","092500",193200.0,194300.0,193000.0,194100.0,13254
"20240705","092600",194200.0,194500.0,192900.0,193100.0,14683
"20240705","092700",193100.0,193500.0,192900.0,193000.0,8386
"20240705","092800",193000.0,193700.0,193000.0,193200.0,4741
"20240705","092900",193300.0,193300.0,192600.0,192600.0,13363
"20240705","093000",192600.0,193600.0,192600.0,193500.0,8204
"20240705","093100",193600.0,194500.0,193300.0,194200.0,16575
"20240705","093200",194200.0,194200.0,193100.0,193200.0,6786
"20240705","093300",193200.0,193800.0,192800.0,193700.0,7470
"20240705","093400",193700.0,194300.0,193400.0,193900.0,9793
"20240705","093500",193900.0,194000.0,193500.0,193600.0,4133
"20240705","093600",193600.0,193800.0,193000.0,193100.0,7262
"20240705","093700",193300.0,193300.0,192200.0,192300.0,12725
"20240705","093800",192300.0,193000.0,192100.0,193000.0,11102
"20240705","093900",193000.0,193100.0,192200.0,192400.0,4137
"20240705","094000",192500.0,193000.0,192400.0,192600.0,3501
"20240705","094100",192700.0,194200.0,192600.0,194100.0,14081
"20240705","094200",194100.0,195600.0,194100.0,195300.0,59285
"20240705","094300",195200.0,195300.0,194400.0,194400.0,12711
"20240705","094400",194500.0,196200.0,194400.0,196000.0,33922
"20240705","094500",196000.0,197000.0,195900.0,196900.0,25156
"20240705","094600",197000.0,197000.0,196500.0,196600.0,15553
"20240705","094700",196700.0,197800.0,196500.0,196600.0,31068
"20240705","094800",196800.0,198400.0,196500.0,198400.0,27957
"20240705","094900",198200.0,199100.0,198000.0,198600.0,27961
"20240705","095000",198800.0,198800.0,197500.0,197900.0,20953
"20240705","095100",198000.0,198400.0,197300.0,197800.0,10725
"20240705","095200",197800.0,198000.0,197100.0,197900.0,18214
"20240705","095300",197800.0,197900.0,196600.0,196600.0,13479
"20240705","095400",196600.0,196700.0,195800.0,196200.0,16129
"20240705","095500",196100.0,196100.0,195500.0,195600.0,12063
"20240705","095600",195600.0,195800.0,195200.0,195300.0,7264
"20240705","095700",195300.0,196400.0,195300.0,196000.0,10445
"20240705","095800",196000.0,197300.0,195800.0,197200.0,10586
"20240705","095900",197200.0,197800.0,197000.0,197700.0,7102
"20240705","100000",197600.0,197700.0,196700.0,197200.0,11442
"20240705","100100",197200.0,197200.0,195600.0,195600.0,7190
"20240705","100200",195900.0,196300.0,195600.0,196100.0,2354
"20240705","100300",196100.0,196300.0,195800.0,196000.0,6531
"20240705","100400",195900.0,196600.0,195900.0,196100.0,3248
"20240705","100500",196200.0,196800.0,195900.0,196800.0,4062
"20240705","100600",196800.0,196800.0,195800.0,195800.0,4252
"20240705","100700",195800.0,196200.0,195800.0,196000.0,1906
"20240705","100800",196000.0,198000.0,196000.0,197700.0,17511
"20240705","100900",197800.0,198800.0,197000.0,198800.0,25483
"20240705","101000",198800.0,199000.0,198400.0,198700.0,16584
"20240705","101100",198800.0,198800.0,197700.0,198300.0,10659
"20240705","101200",198400.0,198500.0,197600.0,197900.0,7279
"20240705","101300",197900.0,198700.0,197700.0,198700.0,5442
"20240705","101400",198700.0,199400.0,198600.0,199300.0,25315
"20240705","101500",199200.0,199400.0,198000.0,198000.0,16716
"20240705","101600",198000.0,199000.0,198000.0,198400.0,6031
"20240705","101700",198500.0,198500.0,198100.0,198400.0,2751
"20240705","101800",198400.0,199100.0,198200.0,198700.0,8552
"20240705","101900",198700.0,199200.0,198600.0,199000.0,8683
"20240705","102000",199000.0,199000.0,198200.0,198600.0,4416
"20240705","102100",198600.0,198900.0,198000.0,198500.0,7549
"20240705","102200",198200.0,199000.0,198200.0,199000.0,2169
"20240705","102300",198900.0,199000.0,198500.0,198800.0,2975
"20240705","102400",198700.0,199600.0,198500.0,199600.0,32736
"20240705","102500",199600.0,202000.0,199300.0,201500.0,87449
"20240705","102600",201500.0,203000.0,201500.0,202500.0,25699
"20240705","102700",202000.0,202500.0,201000.0,201000.0,13095
"20240705","102800",201000.0,201500.0,200000.0,201000.0,13939
"20240705","102900",201500.0,202000.0,200500.0,201000.0,14895
"20240705","103000",201000.0,201500.0,200000.0,200500.0,14911
"20240705","103100",200500.0,201000.0,199500.0,199500.0,14599
"20240705","103200",199500.0,199600.0,198500.0,198700.0,16737
"20240705","103300",198700.0,199000.0,197600.0,197900.0,19778
"20240705","103400",197900.0,198600.0,197900.0,198500.0,12800
"20240705","103500",198500.0,199200.0,198300.0,199200.0,6172
"20240705","103600",199100.0,199200.0,198800.0,199000.0,5068
"20240705","103700",198900.0,199000.0,197700.0,198200.0,10578
"20240705","103800",198100.0,198300.0,197300.0,197400.0,10287
"20240705","103900",197300.0,197500.0,196700.0,197100.0,19245
"20240705","104000",197200.0,197900.0,197100.0,197800.0,4055
"20240705","104100",197700.0,197700.0,196800.0,197200.0,7860
"20240705","104200",197100.0,197700.0,196800.0,197700.0,5246
"20240705","104300",197600.0,197700.0,197200.0,197600.0,3645
"20240705","104400",197600.0,197700.0,196500.0,196700.0,11120
"20240705","104500",196700.0,196700.0,196300.0,196500.0,7665
"20240705","104600",196400.0,197100.0,196300.0,196600.0,4933
"20240705","104700",196600.0,196900.0,196300.0,196500.0,4702
"20240705","104800",196600.0,196800.0,196400.0,196400.0,5914
"20240705","104900",196500.0,196500.0,195500.0,195700.0,21213
"20240705","105000",195600.0,195900.0,195600.0,195900.0,3909
"20240705","105100",195900.0,196300.0,195600.0,195700.0,11270
"20240705","105200",195700.0,196000.0,195200.0,195300.0,10765
"20240705","105300",195300.0,196200.0,195000.0,196100.0,12058
"20240705","105400",195900.0,197000.0,195900.0,197000.0,6120
"20240705","105500",197000.0,197000.0,196500.0,196900.0,4524
"20240705","105600",196900.0,197000.0,196800.0,196900.0,2599
"20240705","105700",196800.0,197200.0,196600.0,196700.0,4983
"20240705","105800",196700.0,196900.0,196400.0,196500.0,2080
"20240705","105900",196400.0,196500.0,196100.0,196200.0,2214
"20240705","110000",196200.0,196500.0,196100.0,196200.0,3786
"20240705","110100",196200.0,196200.0,196000.0,196200.0,2650
"20240705","110200",196300.0,196600.0,195800.0,195800.0,6470
"20240705","110300",195800.0,195800.0,195400.0,195600.0,4780
"20240705","110400",195700.0,195900.0,195000.0,195400.0,6149
"20240705","110500",195400.0,195900.0,195100.0,195800.0,2546
"20240705","110600",195800.0,196400.0,195800.0,196300.0,3969
"20240705","110700",196300.0,196600.0,196100.0,196100.0,2762
"20240705","110800",196200.0,196200.0,195600.0,195700.0,1291
"20240705","110900",195700.0,195900.0,195200.0,195300.0,5716
"20240705","111000",195300.0,195400.0,195000.0,195400.0,6837
"20240705","111100",195300.0,195500.0,195100.0,195500.0,2940
"20240705","111200",195500.0,195500.0,195200.0,195300.0,2047
"20240705","111300",195300.0,195300.0,195100.0,195200.0,1063
"20240705","111400",195200.0,195200.0,194200.0,194600.0,17520
"20240705","111500",194500.0,195200.0,194400.0,194700.0,4089
"20240705","111600",194700.0,194800.0,194400.0,194400.0,2767
"20240705","111700",194500.0,194500.0,193900.0,194000.0,11246
"20240705","111800",194000.0,194300.0,193400.0,193500.0,10055
"20240705","111900",193400.0,193600.0,193300.0,193500.0,7142
"20240705","112000",193600.0,193600.0,193300.0,193400.0,5715
"20240705","112100",193400.0,194000.0,193200.0,193800.0,2764
"20240705","112200",193800.0,194100.0,193400.0,193600.0,3911
"20240705","112300",193600.0,193800.0,193000.0,193100.0,10170
"20240705","112400",193000.0,194300.0,192900.0,194300.0,3832
