<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20220104,100100,74562.3281250,78700.0000000,79200.0000000,78300.0000000,12427416
20220104,100200,74562.3281250,78700.0000000,79200.0000000,78300.0000000,12427416
20220104,100300,74562.3281250,78700.0000000,79200.0000000,78300.0000000,12427416
20220104,100400,74562.3281250,78700.0000000,79200.0000000,78300.0000000,12427416
20220104,100500,74562.3281250,78700.0000000,79200.0000000,78300.0000000,12427416
20220104,100600,74562.3281250,78700.0000000,79200.0000000,78300.0000000,12427416
20220104,100700,74562.3281250,78700.0000000,79200.0000000,78300.0000000,12427416
20220105,100100,73330.6562500,77400.0000000,79000.0000000,76400.0000000,25470640
20220105,100200,73330.6562500,77400.0000000,79000.0000000,76400.0000000,25470640
20220105,100300,73330.6562500,77400.0000000,79000.0000000,76400.0000000,25470640
20220105,100400,73330.6562500,77400.0000000,79000.0000000,76400.0000000,25470640
20220105,100500,73330.6562500,77400.0000000,79000.0000000,76400.0000000,25470640
20220105,100600,73330.6562500,77400.0000000,79000.0000000,76400.0000000,25470640
20220105,100700,73330.6562500,77400.0000000,79000.0000000,76400.0000000,25470640
20220106,100100,72856.9375000,76900.0000000,77600.0000000,76600.0000000,12931954
20220106,100200,72856.9375000,76900.0000000,77600.0000000,76600.0000000,12931954
20220106,100300,72856.9375000,76900.0000000,77600.0000000,76600.0000000,12931954
20220106,100400,72856.9375000,76900.0000000,77600.0000000,76600.0000000,12931954
20220106,100500,72856.9375000,76900.0000000,77600.0000000,76600.0000000,12931954
20220106,100600,72856.9375000,76900.0000000,77600.0000000,76600.0000000,12931954
20220106,100700,72856.9375000,76900.0000000,77600.0000000,76600.0000000,12931954
20220107,100100,74183.3359375,78300.0000000,78400.0000000,77400.0000000,15163757
20220107,100200,74183.3359375,78300.0000000,78400.0000000,77400.0000000,15163757
20220107,100300,74183.3359375,78300.0000000,78400.0000000,77400.0000000,15163757
20220107,100400,74183.3359375,78300.0000000,78400.0000000,77400.0000000,15163757
20220107,100500,74183.3359375,78300.0000000,78400.0000000,77400.0000000,15163757
20220107,100600,74183.3359375,78300.0000000,78400.0000000,77400.0000000,15163757
20220107,100700,74183.3359375,78300.0000000,78400.0000000,77400.0000000,15163757
20220110,100100,73899.1250000,78000.0000000,78100.0000000,77100.0000000,9947422
20220110,100200,73899.1250000,78000.0000000,78100.0000000,77100.0000000,9947422
20220110,100300,73899.1250000,78000.0000000,78100.0000000,77100.0000000,9947422
20220110,100400,73899.1250000,78000.0000000,78100.0000000,77100.0000000,9947422
20220110,100500,73899.1250000,78000.0000000,78100.0000000,77100.0000000,9947422
20220110,100600,73899.1250000,78000.0000000,78100.0000000,77100.0000000,9947422
20220110,100700,73899.1250000,78000.0000000,78100.0000000,77100.0000000,9947422
20220111,100100,74751.8125000,78900.0000000,79000.0000000,78000.0000000,13221123
20220111,100200,74751.8125000,78900.0000000,79000.0000000,78000.0000000,13221123
20220111,100300,74751.8125000,78900.0000000,79000.0000000,78000.0000000,13221123
20220111,100400,74751.8125000,78900.0000000,79000.0000000,78000.0000000,13221123
20220111,100500,74751.8125000,78900.0000000,79000.0000000,78000.0000000,13221123
20220111,100600,74751.8125000,78900.0000000,79000.0000000,78000.0000000,13221123
20220111,100700,74751.8125000,78900.0000000,79000.0000000,78000.0000000,13221123
